,appid,tags,genre
18,340,"['FPS', 'Action', 'Singleplayer', 'First-Person', 'Sci-fi', 'Shooter', 'Short', 'Aliens', 'Dystopian ', 'Classic', 'Adventure', 'Atmospheric', 'Benchmark', 'Futuristic', 'Silent Protagonist', 'Free to Play', 'Multiplayer', 'Post-apocalyptic', 'Story Rich', 'Great Soundtrack']",Action
19,431960,"['Mature', 'Utilities', 'Software', 'Anime', 'Design & Illustration', 'Animation & Modeling', 'Memes', 'Indie', 'NSFW', 'Cute', 'Action', 'Funny', 'Early Access', 'Singleplayer', 'Photo Editing', 'First-Person', 'Sandbox', 'Game Development', 'Horror', 'Gaming']","Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities"
20,105600,"['Open World Survival Craft', 'Sandbox', 'Survival', '2D', 'Multiplayer', 'Adventure', 'Pixel Graphics', 'Crafting', 'Building', 'Exploration', 'Co-op', 'Open World', 'Online Co-Op', 'Indie', 'Action', 'RPG', 'Singleplayer', 'Replay Value', 'Platformer', 'Atmospheric']","Action, Adventure, Indie, RPG"
21,1085660,"['Free to Play', 'Open World', 'FPS', 'Looter Shooter', 'MMORPG', 'PvP', 'PvE', 'Co-op', 'Shooter', 'First-Person', 'Massively Multiplayer', 'Sci-fi', 'Loot', 'Multiplayer', 'Action', 'Lore-Rich', 'Space', 'Adventure', 'Competitive', 'Atmospheric']","Action, Adventure, Free to Play"
22,238960,"['Free to Play', 'Action RPG', 'Hack and Slash', 'RPG', 'Multiplayer', 'Loot', 'Massively Multiplayer', 'Dungeon Crawler', 'Character Customization', 'Inventory Management', 'MMORPG', 'Action', 'Fantasy', 'Adventure', 'Isometric', 'Singleplayer', 'Online Co-Op', 'PvP', 'Horror', 'Co-op']","Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG"
23,218620,"['Co-op', 'Action', 'FPS', 'Heist', 'Looter Shooter', 'Multiplayer', 'Online Co-Op', 'Stealth', 'Crime', 'Shooter', 'Team-Based', 'First-Person', 'Great Soundtrack', 'Gun Customization', 'Tactical', 'PvE', 'Strategy', 'Singleplayer', 'Funny', 'Simulation']","Action, RPG"
24,892970,"['Open World Survival Craft', 'Survival', 'Online Co-Op', 'Open World', 'Multiplayer', 'Building', 'Crafting', 'Exploration', 'Base-Building', 'Co-op', 'Sandbox', 'Adventure', 'Mythology', 'RPG', 'Early Access', 'Action', 'Indie', 'PvP', 'Singleplayer', 'Third Person']","Action, Adventure, Indie, RPG, Early Access"
25,901583,"['Open World', 'Action', 'Automobile Sim', 'Multiplayer', 'Crime', 'Third Person', 'Adventure', 'Singleplayer', 'Third-Person Shooter', 'Sandbox', 'Moddable', 'Shooter', 'Physics', 'Atmospheric', 'Classic', 'Funny', 'Dark Humor', 'Gore', 'Co-op', 'Satire']","Action, Adventure"
26,1097150,"['Multiplayer', 'Party Game', 'Family Friendly', 'Battle Royale', 'Massively Multiplayer', 'Platformer', 'Cute', 'Funny', 'PvP', '3D Platformer', 'Controller', 'Casual', 'Colorful', 'Action', 'Online Co-Op', 'Co-op', 'Comedy', 'Physics', 'Indie', 'Difficult']","Action, Casual, Indie, Massively Multiplayer, Sports"
27,1091500,"['Cyberpunk', 'Open World', 'Nudity', 'RPG', 'Singleplayer', 'Sci-fi', 'Futuristic', 'FPS', 'First-Person', 'Mature', 'Story Rich', 'Atmospheric', 'Exploration', 'Action', 'Violent', 'Great Soundtrack', 'Action RPG', 'Adventure', 'Character Customization', 'Immersive Sim']",RPG
28,242760,"['Open World Survival Craft', 'Survival', 'Open World', 'Horror', 'Crafting', 'Adventure', 'Building', 'Survival Horror', 'First-Person', 'Action', 'Exploration', 'Sandbox', 'Atmospheric', 'Singleplayer', 'Simulation', 'Gore', 'Realistic', 'Indie', 'Early Access', 'Zombies']","Action, Adventure, Indie, Simulation"
29,1468810,"['Early Access', 'Tactical RPG', 'Management', 'Singleplayer', 'Mythology', 'Simulation', 'Sandbox', 'RPG', 'Choose Your Own Adventure', 'Adventure', 'Action', 'Dating Sim', '2D', 'Exploration', 'Hand-drawn', 'Action RPG', 'Action-Adventure', 'Story Rich', 'Fantasy', 'Strategy RPG']","Action, Adventure, Indie, RPG, Simulation, Early Access"
30,444090,"['Hero Shooter', 'Free to Play', 'Multiplayer', 'FPS', 'Shooter', 'Action', 'Team-Based', 'First-Person', 'PvP', 'MOBA', 'Online Co-Op', 'Fantasy', 'Controller', 'Strategy', 'Co-op', 'Character Customization', 'Massively Multiplayer', 'Adventure', 'Colorful', 'Funny']","Action, Adventure, Free to Play, Massively Multiplayer, Strategy"
31,10,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'First-Person', 'Competitive', 'Tactical', ""1990's"", 'e-sports', 'PvP', 'Old School', 'Military', 'Strategy', 'Survival', 'Score Attack', '1980s', 'Assassin', 'Nostalgia']",Action
32,438100,"['VR', 'Free to Play', 'Memes', 'Anime', 'Multiplayer', 'Funny', 'Massively Multiplayer', 'First-Person', 'Early Access', 'Open World', 'Simulation', 'Casual', 'Adventure', 'Hentai', 'MMORPG', 'NSFW', 'Comedy', 'Sandbox', 'Mature', 'Action']","Adventure, Casual, Free to Play, Massively Multiplayer, Simulation, Sports, Early Access"
33,49520,"['Loot', 'Shooter', 'Action', 'Multiplayer', 'Co-op', 'Looter Shooter', 'FPS', 'RPG', 'First-Person', 'Funny', 'Comedy', 'Open World', 'Combat', 'Online Co-Op', 'Adventure', 'Action RPG', 'Dark Humor', 'Singleplayer', 'Memes', 'Sci-fi']","Action, RPG"
34,272060,"['Horror', 'Free to Play', 'Indie', 'Point & Click', 'Psychological Horror', 'Adventure', 'Story Rich', 'Dark', 'Short', 'First-Person', 'Mystery', 'Atmospheric', 'Multiplayer', 'Singleplayer', 'Puzzle', 'Walking Simulator', 'Co-op', 'Hidden Object', 'Exploration', 'Romance']","Adventure, Indie"
35,292030,"['Open World', 'RPG', 'Story Rich', 'Atmospheric', 'Mature', 'Fantasy', 'Adventure', 'Singleplayer', 'Choices Matter', 'Nudity', 'Great Soundtrack', 'Third Person', 'Medieval', 'Action', 'Multiple Endings', 'Action RPG', 'Magic', 'Dark Fantasy', 'Dark', 'Sandbox']",RPG
